oferta_id,empresa,area,nivel_requerido,ciudad,modalidad,tipo_contrato,salario_minimo_cop,salario_maximo_cop,vacantes,skills_requeridos,estado,fecha_publicacion,dias_abierta
43,Truora,BI & Analytics,Lead,Manizales,Remoto,Medio Tiempo,10000000,11553025,4,DAX|Excel|Python,Cerrada,2024-01-15,68
44,Komet Sales,Full Stack,Lead,Manizales,Híbrido,Medio Tiempo,10000000,13646459,5,Python|JavaScript,Pausada,2024-06-07,26
45,Konrad Lorenz Tech,Full Stack,Lead,Cúcuta,Remoto,Tiempo Completo,10000000,13149556,5,React|JavaScript,Cerrada,2024-04-03,39
46,Runa,Frontend,Junior,Cali,Presencial,Tiempo Completo,2000000,4464254,4,HTML|TypeScript|Vue.js|React,Cerrada,2024-05-19,46
47,TechCorp Colombia,Data Science,Junior,Cartagena,Presencial,Práctica,2000000,4659447,3,SQL|Scikit-learn|Pandas,Activa,2024-08-10,64
48,PSL,Machine Learning,Lead,Cali,Presencial,Medio Tiempo,10000000,12617562,3,Python|SQL|Scikit-learn,Activa,2024-01-18,33
49,Konrad Lorenz Tech,DevOps,Senior,Manizales,Presencial,Medio Tiempo,7000000,8157852,5,Terraform|Kubernetes|AWS,Cerrada,2024-05-19,82
50,Globant,Ciberseguridad,Junior,Pasto,Remoto,Práctica,2000000,3934239,3,OWASP|Python|Linux,Activa,2024-07-08,76
51,Globant,QA,Senior,Bucaramanga,Híbrido,Medio Tiempo,7000000,9940589,4,Selenium|Postman,Cerrada,2024-08-06,48
52,Inlaze,Machine Learning,Senior,Tunja,Híbrido,Freelance,7000000,10565756,4,Scikit-learn|TensorFlow|PyTorch|MLflow,Activa,2024-05-24,53
53,Siigo,Mobile,Senior,Cúcuta,Híbrido,Freelance,7000000,8306158,3,Dart|Swift|Kotlin|Flutter,Cerrada,2024-07-21,82
54,Arus,Diseño UX/UI,Senior,Neiva,Presencial,Medio Tiempo,7000000,10411388,3,Prototyping|CSS|Sketch|Figma,Cerrada,2024-05-15,12
55,Runa,DevOps,Junior,Ibagué,Híbrido,Práctica,2000000,3538144,5,Terraform|Linux|Jenkins|Docker,Cerrada,2024-04-21,83
56,Globant,DevOps,Semi-Senior,Bogotá,Híbrido,Práctica,4000000,5541437,1,AWS|Jenkins,Cerrada,2024-02-28,71
57,Nequi,Mobile,Senior,Cúcuta,Híbrido,Práctica,7000000,9554174,3,Flutter|Swift,Activa,2024-10-26,17
58,PSL,Data Science,Junior,Santa Marta,Híbrido,Práctica,2000000,4276690,4,R|Scikit-learn|Python|Pandas,Pausada,2024-03-16,93
59,Globant,Frontend,Senior,Cartagena,Remoto,Medio Tiempo,7000000,9935549,3,CSS|TypeScript|React|HTML,Cerrada,2024-07-01,77
60,Truora,Machine Learning,Senior,Bogotá,Híbrido,Práctica,7000000,8330852,5,PyTorch|MLflow|SQL|Python,Cerrada,2024-02-05,43
61,Leal,Mobile,Senior,Villavicencio,Remoto,Tiempo Completo,7000000,8303998,2,Swift|Kotlin,Pausada,2024-10-08,48
62,Addi,Frontend,Semi-Senior,Bucaramanga,Híbrido,Medio Tiempo,4000000,5140448,2,Vue.js|TypeScript,Activa,2024-08-22,38
63,TechCorp Colombia,DevOps,Junior,Cúcuta,Remoto,Práctica,2000000,5995595,5,Docker|Linux|Jenkins|AWS,Activa,2024-07-21,101
64,Runa,Diseño UX/UI,Semi-Senior,Santa Marta,Presencial,Tiempo Completo,4000000,5641689,1,Figma|HTML|Adobe XD,Cerrada,2024-09-06,66
65,PSL,DevOps,Junior,Pereira,Presencial,Tiempo Completo,2000000,3650812,2,Kubernetes|Terraform,Activa,2024-07-06,7
66,Addi,Machine Learning,Senior,Villavicencio,Presencial,Medio Tiempo,7000000,9880959,3,TensorFlow|MLflow,Cerrada,2024-03-22,35
67,TechCorp Colombia,Frontend,Semi-Senior,Cartagena,Remoto,Medio Tiempo,4000000,6384913,4,JavaScript|React,Activa,2024-02-25,28
68,Nequi,Data Science,Semi-Senior,Santa Marta,Presencial,Práctica,4000000,6849575,1,SQL|Python|Pandas,Cerrada,2024-03-03,64
69,Truora,BI & Analytics,Semi-Senior,Pasto,Presencial,Medio Tiempo,4000000,5237672,2,SQL|Power BI,Activa,2024-07-08,27
70,Truora,DevOps,Senior,Bucaramanga,Remoto,Tiempo Completo,7000000,8909261,3,Terraform|Jenkins,Cerrada,2024-03-08,15
71,Runa,Ciberseguridad,Junior,Bogotá,Remoto,Práctica,2000000,3683857,2,Kali|Python,Cerrada,2024-03-08,47
72,Arus,Ciberseguridad,Lead,Tunja,Presencial,Tiempo Completo,10000000,12997692,4,Wireshark|OWASP,Activa,2024-05-13,53
73,Bancolombia Digital,Frontend,Senior,Villavicencio,Presencial,Medio Tiempo,7000000,10251598,4,Vue.js|CSS,Activa,2024-08-28,81
74,Pragma,Backend,Semi-Senior,Ibagué,Híbrido,Tiempo Completo,4000000,7453387,3,Node.js|Django|Java|FastAPI,Activa,2024-09-30,37
75,Nequi,Ciberseguridad,Semi-Senior,Neiva,Híbrido,Tiempo Completo,4000000,5781427,1,Wireshark|Burp Suite,Activa,2024-02-14,7
76,Siigo,Cloud,Junior,Pasto,Híbrido,Práctica,2000000,5576102,1,Terraform|GCP,Cerrada,2024-02-07,68
77,Siigo,Diseño UX/UI,Junior,Cartagena,Presencial,Tiempo Completo,2000000,5465231,5,Adobe XD|Figma|HTML|CSS,Cerrada,2024-06-30,32
78,Pragma,Frontend,Semi-Senior,Armenia,Presencial,Freelance,4000000,6047625,2,Vue.js|HTML,Activa,2024-04-03,21
79,Globant,Frontend,Semi-Senior,Villavicencio,Remoto,Práctica,4000000,7848465,3,TypeScript|React|CSS|Vue.js,Cerrada,2024-05-13,85
80,Platzi,Diseño UX/UI,Junior,Pereira,Remoto,Freelance,2000000,4234919,3,CSS|HTML|Adobe XD|Figma,Activa,2024-01-10,40
81,TechCorp Colombia,Mobile,Lead,Bucaramanga,Remoto,Freelance,10000000,13574672,4,Kotlin|Swift|Dart|React Native,Cerrada,2024-06-27,19
82,Habi,Ciberseguridad,Senior,Bucaramanga,Presencial,Práctica,7000000,10661960,2,Kali|Linux,Activa,2024-06-11,54
83,Truora,Ciberseguridad,Lead,Ibagué,Remoto,Medio Tiempo,10000000,12504466,5,Kali|Wireshark|Python,Activa,2024-08-02,11
84,TechCorp Colombia,Frontend,Semi-Senior,Pasto,Híbrido,Medio Tiempo,4000000,5632959,5,React|JavaScript|HTML,Activa,2024-02-06,42
85,Konrad Lorenz Tech,Machine Learning,Senior,Villavicencio,Remoto,Práctica,7000000,9024935,4,MLflow|PyTorch,Cerrada,2024-03-19,62
86,Bancolombia Digital,Full Stack,Semi-Senior,Montería,Presencial,Tiempo Completo,4000000,6406033,3,JavaScript|React|Python,Cerrada,2024-01-14,80
87,Siigo,Diseño UX/UI,Junior,Tunja,Remoto,Tiempo Completo,2000000,4143414,5,Figma|Prototyping,Activa,2024-04-24,91
88,Globant,Frontend,Semi-Senior,Bucaramanga,Remoto,Freelance,4000000,6241818,5,React|TypeScript|CSS|Vue.js,Cerrada,2024-02-27,57
89,PSL,Ciberseguridad,Lead,Bogotá,Remoto,Tiempo Completo,10000000,13226497,3,Kali|OWASP|Linux,Activa,2024-10-02,8
90,Bancolombia Digital,Full Stack,Junior,Villavicencio,Remoto,Práctica,2000000,4854906,5,Docker|SQL|Python,Activa,2024-06-09,67
91,PSL,Mobile,Lead,Barranquilla,Híbrido,Práctica,10000000,11542328,2,Swift|React Native|Flutter|Kotlin,Activa,2024-04-02,15
92,MercadoLibre,Backend,Semi-Senior,Bogotá,Presencial,Tiempo Completo,4000000,5190723,3,Spring Boot|Python,Activa,2024-05-09,69
93,Inlaze,Mobile,Lead,Barranquilla,Remoto,Práctica,10000000,13579485,4,Dart|Kotlin|React Native|Flutter,Activa,2024-07-27,76
94,Inlaze,Full Stack,Semi-Senior,Pereira,Remoto,Tiempo Completo,4000000,5239130,2,Docker|React,Cerrada,2024-08-04,62
95,Bancolombia Digital,Diseño UX/UI,Junior,Bogotá,Presencial,Medio Tiempo,2000000,3676514,5,Figma|Prototyping,Activa,2024-10-05,51
96,Konrad Lorenz Tech,QA,Junior,Bucaramanga,Presencial,Medio Tiempo,2000000,5220716,2,Cypress|Pytest|JMeter,Activa,2024-01-01,120
97,Runa,Machine Learning,Semi-Senior,Medellín,Remoto,Práctica,4000000,6669784,5,TensorFlow|SQL|MLflow,Cerrada,2024-03-24,68
98,Inlaze,Cloud,Semi-Senior,Villavicencio,Híbrido,Medio Tiempo,4000000,5899636,4,Kubernetes|AWS|Terraform,Activa,2024-02-12,65
99,Bold,Frontend,Lead,Barranquilla,Remoto,Práctica,10000000,13315884,3,React|HTML,Pausada,2024-02-25,1
100,Nequi,Full Stack,Semi-Senior,Manizales,Híbrido,Medio Tiempo,4000000,5415862,5,SQL|Python,Cerrada,2024-04-24,54
101,Inlaze,Diseño UX/UI,Junior,Armenia,Presencial,Tiempo Completo,2000000,4703141,4,HTML|Adobe XD,Activa,2024-02-18,84
102,TechCorp Colombia,Machine Learning,Semi-Senior,Tunja,Híbrido,Tiempo Completo,4000000,7743868,3,Scikit-learn|MLflow,Activa,2024-02-08,80
103,Globant,Ciberseguridad,Lead,Neiva,Híbrido,Tiempo Completo,10000000,12477834,5,Wireshark|Kali,Activa,2024-09-30,83
104,MercadoLibre,QA,Lead,Bogotá,Híbrido,Medio Tiempo,10000000,13942284,4,Pytest|Postman|JMeter,Activa,2024-07-23,69
105,Konrad Lorenz Tech,Backend,Semi-Senior,Neiva,Remoto,Freelance,4000000,7586806,5,Java|Django|Node.js,Activa,2024-03-24,44
106,TechCorp Colombia,Full Stack,Lead,Neiva,Híbrido,Freelance,10000000,11572537,5,Docker|SQL|React,Cerrada,2024-01-12,66
107,Addi,Machine Learning,Lead,Cúcuta,Remoto,Práctica,10000000,13407926,5,MLflow|SQL,Activa,2024-01-12,72
108,Truora,Ciberseguridad,Senior,Santa Marta,Híbrido,Freelance,7000000,10875547,5,Python|Wireshark|Linux,Cerrada,2024-05-25,61
109,Globant,Machine Learning,Senior,Montería,Presencial,Medio Tiempo,7000000,9212050,4,SQL|MLflow|Python,Activa,2024-06-24,27
110,Runa,BI & Analytics,Senior,Tunja,Remoto,Freelance,7000000,9216414,3,Excel|Python|SQL|Power BI,Activa,2024-03-26,85
111,Bancolombia Digital,Frontend,Junior,Bucaramanga,Presencial,Medio Tiempo,2000000,4923847,1,JavaScript|HTML|React|TypeScript,Activa,2024-05-28,71
112,Komet Sales,Cloud,Senior,Popayán,Remoto,Medio Tiempo,7000000,8002284,5,Kubernetes|AWS,Cerrada,2024-10-20,81
113,PSL,QA,Lead,Tunja,Híbrido,Medio Tiempo,10000000,13595663,5,Postman|JMeter|Selenium|Cypress,Cerrada,2024-05-14,23
114,Komet Sales,Frontend,Lead,Bogotá,Remoto,Tiempo Completo,10000000,11892774,1,CSS|HTML,Cerrada,2024-07-18,61
115,TechCorp Colombia,QA,Semi-Senior,Pasto,Presencial,Freelance,4000000,5407230,5,Cypress|Postman|Pytest,Activa,2024-10-16,25
116,Inlaze,Ciberseguridad,Junior,Armenia,Híbrido,Tiempo Completo,2000000,5741513,1,Python|OWASP|Wireshark|Kali,Activa,2024-03-23,54
117,Komet Sales,DevOps,Lead,Barranquilla,Remoto,Medio Tiempo,10000000,12138264,3,Terraform|Docker|AWS|Kubernetes,Activa,2024-05-09,17
118,Addi,Mobile,Senior,Tunja,Presencial,Freelance,7000000,8691366,3,Flutter|Kotlin,Pausada,2024-07-12,19
119,Truora,QA,Lead,Cartagena,Presencial,Práctica,10000000,11747678,2,Selenium|Postman|Cypress|JMeter,Pausada,2024-04-02,16
120,Bold,Full Stack,Senior,Bogotá,Presencial,Práctica,7000000,9288922,4,Docker|Node.js|Python,Pausada,2024-06-04,70
121,Habi,Machine Learning,Semi-Senior,Montería,Presencial,Medio Tiempo,4000000,5404284,2,Python|TensorFlow|PyTorch,Activa,2024-06-09,1
122,Nequi,QA,Senior,Barranquilla,Remoto,Tiempo Completo,7000000,8013943,2,JMeter|Pytest,Activa,2024-04-04,12
123,Bold,Full Stack,Semi-Senior,Armenia,Remoto,Práctica,4000000,6135397,5,Python|Node.js|Docker,Cerrada,2024-05-06,89
124,MercadoLibre,Cloud,Senior,Bucaramanga,Híbrido,Freelance,7000000,8714336,3,AWS|Docker|GCP,Activa,2024-06-09,13
125,Habi,Ciberseguridad,Senior,Cali,Presencial,Tiempo Completo,7000000,8229592,3,Python|Kali|Wireshark|Burp Suite,Pausada,2024-09-27,110
126,Bold,Backend,Senior,Neiva,Presencial,Freelance,7000000,9978100,2,Node.js|SQL,Cerrada,2024-04-19,55
127,Globant,Cloud,Senior,Neiva,Remoto,Freelance,7000000,10435133,3,GCP|Kubernetes,Cerrada,2024-10-19,68
128,Bancolombia Digital,Machine Learning,Semi-Senior,Ibagué,Remoto,Práctica,4000000,7141381,5,TensorFlow|Scikit-learn|Python|MLflow,Activa,2024-04-09,16
129,Siigo,Diseño UX/UI,Semi-Senior,Popayán,Híbrido,Medio Tiempo,4000000,6791487,1,CSS|Figma,Activa,2024-09-16,69
130,Truora,QA,Semi-Senior,Tunja,Presencial,Medio Tiempo,4000000,5040444,3,Selenium|Postman|Cypress,Cerrada,2024-08-10,33
131,PSL,Backend,Lead,Montería,Presencial,Medio Tiempo,10000000,12373372,2,Django|Spring Boot,Activa,2024-09-19,7
132,Addi,Backend,Senior,Armenia,Remoto,Freelance,7000000,9171118,4,SQL|Java|Django|Spring Boot,Activa,2024-09-02,57
133,PSL,Machine Learning,Junior,Manizales,Remoto,Práctica,2000000,3572739,5,Scikit-learn|PyTorch|MLflow|Python,Cerrada,2024-05-11,58
134,Bancolombia Digital,Machine Learning,Junior,Barranquilla,Remoto,Freelance,2000000,5011968,2,SQL|PyTorch,Activa,2024-09-29,116
135,Rappi Tech,Frontend,Junior,Tunja,Híbrido,Práctica,2000000,5783219,5,Vue.js|TypeScript|HTML|CSS,Activa,2024-05-27,22
136,Habi,Cloud,Senior,Neiva,Híbrido,Freelance,7000000,9837274,2,GCP|Docker|Kubernetes,Activa,2024-07-08,106
137,Inlaze,Cloud,Semi-Senior,Barranquilla,Híbrido,Tiempo Completo,4000000,5751410,2,Docker|Kubernetes|AWS|Terraform,Activa,2024-10-25,60
138,Habi,Mobile,Semi-Senior,Neiva,Remoto,Práctica,4000000,5060350,3,Kotlin|Flutter|Swift,Cerrada,2024-09-27,48
139,Truora,DevOps,Lead,Bucaramanga,Híbrido,Práctica,10000000,13195173,1,Kubernetes|Terraform,Activa,2024-04-21,82
140,Addi,Cloud,Senior,Tunja,Remoto,Tiempo Completo,7000000,10424820,2,GCP|Kubernetes,Cerrada,2024-09-08,78
141,TechCorp Colombia,Machine Learning,Junior,Bucaramanga,Remoto,Práctica,2000000,4962977,5,Scikit-learn|SQL|TensorFlow|Python,Activa,2024-06-10,19
142,Konrad Lorenz Tech,QA,Junior,Popayán,Híbrido,Tiempo Completo,2000000,4949006,1,JMeter|Selenium,Cerrada,2024-06-12,34
143,Globant,Diseño UX/UI,Junior,Manizales,Híbrido,Tiempo Completo,2000000,3043768,2,HTML|Adobe XD|Sketch|CSS,Pausada,2024-09-29,17
144,Globant,QA,Senior,Manizales,Híbrido,Práctica,7000000,8177261,5,Selenium|Cypress|JMeter|Pytest,Activa,2024-09-28,42
145,Pragma,QA,Junior,Cúcuta,Remoto,Práctica,2000000,3866476,4,Cypress|JMeter|Selenium|Pytest,Activa,2024-06-24,120
146,Bold,BI & Analytics,Semi-Senior,Cali,Remoto,Freelance,4000000,7137656,5,Power BI|Excel|SQL,Activa,2024-05-05,27
147,Konrad Lorenz Tech,Diseño UX/UI,Junior,Tunja,Presencial,Práctica,2000000,3378945,3,Sketch|Figma|Adobe XD|Prototyping,Cerrada,2024-05-29,67
148,Runa,BI & Analytics,Semi-Senior,Armenia,Híbrido,Medio Tiempo,4000000,6497653,3,Tableau|Power BI|Python,Cerrada,2024-02-29,22
149,Pragma,Full Stack,Junior,Popayán,Remoto,Práctica,2000000,5039098,2,SQL|Docker|Python|JavaScript,Activa,2024-03-22,70
150,PSL,QA,Semi-Senior,Bucaramanga,Híbrido,Tiempo Completo,4000000,6584234,3,Selenium|JMeter,Activa,2024-07-30,10
151,Konrad Lorenz Tech,QA,Semi-Senior,Tunja,Híbrido,Freelance,4000000,6717964,3,Pytest|Selenium,Activa,2024-07-10,16
152,Nequi,Frontend,Lead,Bogotá,Presencial,Medio Tiempo,10000000,13040975,4,JavaScript|Vue.js|CSS|TypeScript,Activa,2024-03-09,120
153,Globant,Mobile,Lead,Popayán,Híbrido,Medio Tiempo,10000000,13482934,3,Dart|Flutter|Swift,Cerrada,2024-01-12,83
154,Arus,Ciberseguridad,Lead,Bogotá,Híbrido,Medio Tiempo,10000000,11726173,5,Burp Suite|Kali|Wireshark|Linux,Activa,2024-05-22,79
155,Konrad Lorenz Tech,Backend,Semi-Senior,Tunja,Híbrido,Práctica,4000000,5569522,4,Python|FastAPI,Activa,2024-05-16,114
156,Globant,BI & Analytics,Junior,Villavicencio,Presencial,Tiempo Completo,2000000,3851842,3,SQL|Excel|Python|DAX,Pausada,2024-09-14,98
157,Bold,Cloud,Lead,Pasto,Híbrido,Medio Tiempo,10000000,11981619,2,GCP|AWS,Activa,2024-08-31,58
158,Habi,DevOps,Junior,Bogotá,Híbrido,Tiempo Completo,2000000,4464259,2,Terraform|Kubernetes,Activa,2024-08-02,3
159,Komet Sales,BI & Analytics,Semi-Senior,Santa Marta,Remoto,Tiempo Completo,4000000,6098765,1,Excel|SQL,Cerrada,2024-03-28,39
160,Bold,Diseño UX/UI,Senior,Neiva,Remoto,Tiempo Completo,7000000,9126300,3,HTML|CSS|Adobe XD|Figma,Activa,2024-01-29,91
161,MercadoLibre,Machine Learning,Semi-Senior,Santa Marta,Presencial,Medio Tiempo,4000000,7310383,1,PyTorch|Python|TensorFlow|MLflow,Activa,2024-09-04,92
162,TechCorp Colombia,Mobile,Lead,Tunja,Presencial,Medio Tiempo,10000000,12634833,3,Swift|Dart,Cerrada,2024-10-21,62
163,Truora,QA,Junior,Cúcuta,Remoto,Medio Tiempo,2000000,4214723,1,Selenium|Cypress|Postman,Activa,2024-04-19,23
164,Bancolombia Digital,Machine Learning,Junior,Pereira,Presencial,Práctica,2000000,5205534,4,Scikit-learn|Python,Activa,2024-07-14,28
165,Bold,Frontend,Lead,Bucaramanga,Remoto,Medio Tiempo,10000000,11147421,1,HTML|React|JavaScript,Activa,2024-05-01,51
166,Nequi,Machine Learning,Senior,Montería,Híbrido,Tiempo Completo,7000000,8041844,3,Python|Scikit-learn,Activa,2024-06-09,4
167,Konrad Lorenz Tech,DevOps,Semi-Senior,Bogotá,Remoto,Práctica,4000000,5906757,5,Linux|AWS,Activa,2024-04-07,97
168,Rappi Tech,Frontend,Semi-Senior,Barranquilla,Remoto,Práctica,4000000,7375534,1,TypeScript|HTML|React|JavaScript,Cerrada,2024-08-29,19
169,Arus,Backend,Junior,Ibagué,Híbrido,Freelance,2000000,4709232,1,Django|Python,Pausada,2024-02-26,73
170,Bold,Ciberseguridad,Junior,Santa Marta,Presencial,Medio Tiempo,2000000,4707343,1,Kali|OWASP,Pausada,2024-03-15,106
171,Komet Sales,Frontend,Semi-Senior,Cartagena,Remoto,Práctica,4000000,5064578,2,Vue.js|JavaScript|React|HTML,Activa,2024-04-19,117
172,Runa,Full Stack,Junior,Santa Marta,Presencial,Práctica,2000000,4990030,2,React|SQL|Node.js|Docker,Activa,2024-01-12,27
173,Pragma,Backend,Semi-Senior,Armenia,Presencial,Tiempo Completo,4000000,7732780,4,FastAPI|Java,Cerrada,2024-06-02,81
174,Komet Sales,Mobile,Senior,Tunja,Presencial,Tiempo Completo,7000000,9603335,1,Flutter|Kotlin|React Native|Dart,Activa,2024-02-24,74
175,Platzi,Frontend,Lead,Villavicencio,Híbrido,Freelance,10000000,13544475,5,TypeScript|CSS|HTML|JavaScript,Cerrada,2024-05-10,71
176,Leal,DevOps,Lead,Medellín,Remoto,Freelance,10000000,12308461,4,AWS|Terraform,Activa,2024-09-18,96
177,Runa,Backend,Junior,Medellín,Presencial,Freelance,2000000,5599257,5,Python|SQL,Activa,2024-08-11,39
178,Leal,Machine Learning,Semi-Senior,Cartagena,Remoto,Freelance,4000000,5966624,3,Scikit-learn|Python|TensorFlow,Activa,2024-09-18,56
179,Runa,Backend,Semi-Senior,Popayán,Presencial,Freelance,4000000,6150585,4,Java|Spring Boot,Activa,2024-01-05,22
180,Pragma,Diseño UX/UI,Lead,Bogotá,Presencial,Freelance,10000000,11006249,2,Figma|CSS,Cerrada,2024-01-02,17
181,Siigo,Cloud,Lead,Cúcuta,Híbrido,Práctica,10000000,12901852,2,Docker|Kubernetes|AWS|Terraform,Activa,2024-01-03,1
182,Leal,Mobile,Junior,Bogotá,Remoto,Tiempo Completo,2000000,4612638,5,React Native|Swift,Cerrada,2024-03-18,40
183,Habi,Ciberseguridad,Lead,Medellín,Presencial,Tiempo Completo,10000000,13272377,3,Burp Suite|OWASP|Kali|Linux,Activa,2024-02-12,110
184,Bancolombia Digital,DevOps,Junior,Bogotá,Híbrido,Freelance,2000000,5870149,2,Linux|Kubernetes,Activa,2024-03-01,114
